Hour,Minute,Second,Millisecond,Time,Price
10,46,57,984,46:58.0,45.03
11,23,37,588,23:37.6,44.61
11,44,23,517,44:23.5,42.48
14,33,5,218,33:05.2,42.9
15,40,52,862,40:52.9,44.03
9,40,29,704,40:29.7,44.41
9,58,38,481,58:38.5,45.55
12,14,10,930,14:10.9,39.72
12,57,2,381,57:02.4,40.23
12,42,45,338,42:45.3,39.07
9,59,6,843,59:06.8,45
11,24,46,365,24:46.4,44.45
13,35,58,811,35:58.8,42.89
13,41,58,906,41:58.9,42.35
13,59,13,144,59:13.1,39.3
14,26,7,924,26:07.9,41.89
13,18,53,713,18:53.7,41.99
11,17,6,373,17:06.4,45.13
13,36,7,431,36:07.4,42.99
14,36,9,745,36:09.7,43.03
9,54,38,947,54:38.9,44.9
10,56,42,609,56:42.6,45.64
13,29,22,988,29:23.0,41.76
15,10,50,241,10:50.2,42.36
11,50,49,466,50:49.5,42.53
11,1,49,275,01:49.3,46.11
9,16,6,806,16:06.8,45.61
15,40,8,624,40:08.6,44.19
11,41,50,854,41:50.9,42.43
14,42,39,248,42:39.2,43.21
13,55,8,919,55:08.9,40.95
15,21,30,714,21:30.7,43.73
14,7,44,225,07:44.2,38.63
9,11,35,721,11:35.7,45.71
10,8,43,841,08:43.8,47.21
16,28,8,686,28:08.7,41.88
9,46,29,333,46:29.3,44.67
13,30,30,177,30:30.2,41.95
16,56,12,89,56:12.1,44.73
9,26,44,623,26:44.6,44.79
15,40,34,78,40:34.1,44.29
15,22,0,308,22:00.3,43.84
13,3,21,521,03:21.5,41.52
14,29,0,878,29:00.9,42.29
13,2,6,959,02:07.0,41.01
14,45,22,5,45:22.0,43.82
14,24,39,672,24:39.7,41.98
13,39,51,164,39:51.2,43.05
12,35,0,546,35:00.5,39.59
13,51,48,978,51:49.0,42.32
14,30,6,382,30:06.4,42.28
9,19,44,924,19:44.9,45.43
11,38,24,158,38:24.2,41.9
14,8,0,144,08:00.1,38.89
14,20,12,219,20:12.2,41.26
13,17,54,66,17:54.1,41.94
11,20,24,656,20:24.7,45.15
13,37,42,203,37:42.2,43.09
15,37,48,728,37:48.7,43.6
9,40,13,752,40:13.8,44.52
11,58,14,258,58:14.3,41.9
9,24,6,743,24:06.7,45.46
10,51,1,477,51:01.5,46.28
14,54,54,133,54:54.1,43.86
10,29,21,660,29:21.7,48.39
9,19,1,83,19:01.1,45.42
14,29,8,972,29:09.0,42.54
15,50,21,784,50:21.8,42.15
9,49,56,515,49:56.5,46.04
9,46,24,895,46:24.9,44.82
10,9,24,285,09:24.3,46.73
13,13,24,71,13:24.1,40.66
10,53,29,525,53:29.5,45.04
15,34,48,100,34:48.1,43.58
15,51,25,728,51:25.7,42.22
9,8,10,999,08:11.0,45.72
15,41,16,501,41:16.5,43.71
14,56,49,973,56:50.0,43.63
10,31,6,187,31:06.2,47.7
11,23,12,519,23:12.5,44.77
15,24,31,125,24:31.1,44.54
15,7,20,94,07:20.1,41.86
10,11,19,798,11:19.8,47.08
11,47,15,649,47:15.6,43.13
15,10,1,767,10:01.8,42.5
15,28,3,330,28:03.3,42.96
16,12,8,689,12:08.7,44.09
10,43,23,244,43:23.2,43.84
13,42,24,707,42:24.7,42.35
12,4,45,646,04:45.6,40.16
15,32,32,944,32:32.9,43.26
13,49,36,22,49:36.0,42.44
16,44,30,35,44:30.0,44.8
10,25,9,84,25:09.1,47.66
9,59,32,647,59:32.6,45.28
10,48,12,733,48:12.7,45.86
12,9,45,559,09:45.6,40.8
10,10,48,64,10:48.1,47.2
10,37,40,194,37:40.2,46.37
16,44,13,87,44:13.1,44.93
12,29,37,888,29:37.9,39.39
13,12,2,782,12:02.8,40.05
10,28,10,117,28:10.1,47.74
11,29,32,67,29:32.1,43.33
11,19,26,220,19:26.2,45.92
9,17,23,373,17:23.4,45.68
15,6,20,837,06:20.8,42.31
16,30,24,8,30:24.0,42.37
15,10,25,670,10:25.7,42.23
11,18,34,97,18:34.1,45.59
15,33,26,504,33:26.5,42.99
13,48,17,77,48:17.1,42.22
16,19,35,469,19:35.5,42.36
9,15,29,856,15:29.9,45.53
12,32,31,909,32:31.9,40.4
9,51,12,277,51:12.3,45.89
14,18,58,927,18:58.9,39.96
16,2,53,486,02:53.5,42.33
14,54,5,551,54:05.6,44.17
16,48,28,282,48:28.3,42.91
11,42,57,21,42:57.0,42.34
15,43,12,518,43:12.5,43.65
16,10,30,733,10:30.7,43.96
15,47,43,68,47:43.1,42.65
16,1,6,621,01:06.6,43.34
9,27,50,784,27:50.8,45.77
13,18,0,259,18:00.3,42.13
12,57,31,418,57:31.4,40.33
10,16,45,681,16:45.7,47.75
14,0,46,853,00:46.9,39.49
10,46,4,610,46:04.6,45.06
15,54,52,954,54:53.0,41.16
12,14,10,629,14:10.6,39.72
14,24,41,830,24:41.8,42.05
14,1,49,139,01:49.1,39.17
14,17,26,881,17:26.9,40.1
11,3,33,921,03:33.9,46.34
15,4,28,716,04:28.7,42.39
12,25,24,748,25:24.7,39.09
14,58,37,866,58:37.9,43.4
13,45,26,576,45:26.6,43.36
14,53,31,510,53:31.5,43.97
14,13,15,445,13:15.4,40.19
11,9,34,799,09:34.8,46.1
14,21,43,281,21:43.3,41.67
9,27,57,693,27:57.7,45.78
11,39,51,90,39:51.1,42.52
13,13,23,322,13:23.3,40.65
16,17,22,887,17:22.9,43.52
15,45,21,582,45:21.6,42.87
11,0,41,452,00:41.5,46.76
12,2,52,352,02:52.4,40.32
12,39,17,630,39:17.6,38.46
13,4,8,355,04:08.4,41.75
14,0,11,270,00:11.3,39.34
11,51,29,949,51:29.9,42.43
16,30,52,996,30:53.0,42.01
15,21,19,438,21:19.4,43.92
11,1,31,655,01:31.7,46.63
9,22,37,332,22:37.3,45.64
16,51,11,888,51:11.9,42.97
15,34,51,495,34:51.5,43.73
11,9,15,95,09:15.1,46.41
11,45,9,749,45:09.7,42.71
15,52,45,55,52:45.1,41.79
13,37,16,697,37:16.7,42.84
13,36,13,728,36:13.7,43.15
14,53,11,648,53:11.6,44.16
13,1,19,228,01:19.2,40.79
15,26,10,898,26:10.9,42.65
9,13,51,279,13:51.3,45.46
10,47,53,56,47:53.1,45.65
9,39,14,923,39:14.9,44.24
11,0,54,761,00:54.8,46.79
14,20,20,860,20:20.9,41.07
9,1,23,329,01:23.3,46.38
12,24,27,42,24:27.0,39
11,36,18,285,36:18.3,42.72
9,27,29,25,27:29.0,45.17
15,37,10,245,37:10.2,43.79
15,5,15,597,05:15.6,42.6
9,15,32,282,15:32.3,45.63
15,42,17,12,42:17.0,43.56
13,53,32,184,53:32.2,41.72
11,15,55,84,15:55.1,45.38
9,55,17,608,55:17.6,45.16
10,0,32,66,00:32.1,45.35
10,20,46,93,20:46.1,46.58
13,32,34,230,32:34.2,42.46
14,38,9,971,38:10.0,43.22
13,45,44,580,45:44.6,43.12
15,42,19,857,42:19.9,43.49
12,30,58,837,30:58.8,39.58
12,24,21,88,24:21.1,39.1
12,56,59,767,56:59.8,40.24
16,2,9,853,02:09.9,42.78
16,49,25,324,49:25.3,42.49
10,42,43,432,42:43.4,44.05
14,22,48,350,22:48.3,41.96
16,5,31,110,05:31.1,42.7
9,26,35,144,26:35.1,44.89
16,55,7,505,55:07.5,44.82
9,41,9,191,41:09.2,44.59
13,44,46,601,44:46.6,42.75
13,27,9,517,27:09.5,41.41
15,44,1,446,44:01.4,43.14
14,58,10,565,58:10.6,43.32
12,48,36,977,48:37.0,39.49
15,28,4,850,28:04.8,42.98
13,23,29,496,23:29.5,42.23
12,16,24,745,16:24.7,39.25
12,1,9,258,01:09.3,40.67
14,17,31,966,17:32.0,40.11
15,34,25,980,34:26.0,43.36
16,59,4,451,59:04.5,43.24
16,45,56,356,45:56.4,43.82
10,53,56,567,53:56.6,44.86
13,15,2,386,15:02.4,40.88
13,48,49,282,48:49.3,41.94
12,37,24,444,37:24.4,39.25
13,52,33,891,52:33.9,42.1
10,18,50,862,18:50.9,47.74
12,41,2,91,41:02.1,39.35
15,25,47,823,25:47.8,43.09
15,15,42,769,15:42.8,43.2
13,13,10,175,13:10.2,40.53
12,43,57,0,43:57.0,39.08
9,45,25,986,45:26.0,45.12
12,40,51,501,40:51.5,39
12,52,12,294,52:12.3,40.65
15,15,27,21,15:27.0,43.52
14,46,17,472,46:17.5,43.6
15,13,53,623,13:53.6,43.18
14,23,44,635,23:44.6,41.99
10,24,31,779,24:31.8,47.48
11,42,58,306,42:58.3,42.28
9,14,58,538,14:58.5,45.13
9,28,14,952,28:15.0,45.92
15,4,45,397,04:45.4,42.46
16,24,25,738,24:25.7,42.43
12,42,51,967,42:52.0,39.08
9,18,16,661,18:16.7,45.35
12,36,48,647,36:48.6,39.21
13,23,53,342,23:53.3,42.17
15,42,53,191,42:53.2,43.43
11,8,22,341,08:22.3,46.48
14,7,55,561,07:55.6,38.65
13,10,25,610,10:25.6,40.45
14,4,21,939,04:21.9,39.28
14,29,31,144,29:31.1,42.38
11,20,32,500,20:32.5,45
13,6,8,566,06:08.6,41.07
9,25,54,622,25:54.6,45.01
16,46,14,259,46:14.3,43.57
11,4,20,390,04:20.4,46.59
14,6,36,641,06:36.6,38.26
15,7,41,901,07:41.9,41.99
16,17,15,193,17:15.2,43.23
16,9,39,461,09:39.5,43.85
10,51,34,742,51:34.7,46.22
16,54,32,77,54:32.1,44.31
10,27,29,41,27:29.0,47.94
13,15,9,452,15:09.5,40.97
15,47,27,294,47:27.3,42.73
9,30,39,26,30:39.0,46.66
15,22,22,311,22:22.3,43.86
13,26,57,961,26:58.0,41.44
16,34,0,595,34:00.6,44.02
9,8,10,265,08:10.3,45.73
11,44,6,769,44:06.8,42.21
11,40,12,459,40:12.5,42.2
12,22,3,121,22:03.1,38.46
12,37,12,714,37:12.7,39.26
14,34,57,373,34:57.4,42.6
10,30,13,542,30:13.5,48.84
10,24,51,683,24:51.7,47.34
12,43,26,357,43:26.4,39.36
13,39,11,638,39:11.6,43.29
12,22,31,725,22:31.7,38.7
15,25,28,810,25:28.8,43.08
14,11,57,515,11:57.5,39.42
16,57,35,506,57:35.5,43.57
11,57,47,789,57:47.8,42.3
11,44,13,742,44:13.7,42.45
13,49,46,469,49:46.5,42.32
10,13,50,166,13:50.2,46.89
11,13,45,776,13:45.8,46.01
15,24,59,2,24:59.0,43.69
12,30,46,900,30:46.9,38.97
16,24,38,541,24:38.5,42.59
12,23,38,270,23:38.3,38.99
16,13,13,271,13:13.3,43.05
14,15,16,479,15:16.5,39.96
15,0,57,729,00:57.7,43.4
15,49,35,737,49:35.7,42.75
12,31,43,818,31:43.8,40.24
13,54,53,447,54:53.4,40.99
16,10,33,732,10:33.7,43.83
14,26,51,308,26:51.3,42.39
14,36,7,211,36:07.2,43.05
15,56,27,230,56:27.2,41.91
13,15,37,313,15:37.3,41.37
14,0,12,114,00:12.1,39.44
16,37,45,568,37:45.6,43.94
15,7,6,202,07:06.2,42.3
13,14,29,459,14:29.5,40.81
9,1,42,343,01:42.3,45.81
14,11,29,69,11:29.1,39.34
16,40,54,729,40:54.7,45.82
15,6,34,799,06:34.8,42.47
15,15,55,517,15:55.5,42.9
12,38,53,250,38:53.3,38.34
10,42,11,326,42:11.3,44.13
11,36,9,253,36:09.3,43.05
9,20,2,503,20:02.5,45.52
9,27,28,861,27:28.9,45.17
13,9,41,25,09:41.0,40.44
11,29,16,692,29:16.7,43.42
13,20,40,82,20:40.1,42.05
12,12,51,875,12:51.9,40.36
13,20,20,248,20:20.2,42.45
11,56,22,559,56:22.6,42.79
13,7,33,814,07:33.8,40.43
13,33,24,705,33:24.7,42.02
10,59,47,156,59:47.2,46.05
15,30,50,725,30:50.7,43.68
9,27,10,481,27:10.5,45.05
15,59,9,807,59:09.8,42.72
10,44,32,641,44:32.6,44.66
9,45,55,2,45:55.0,44.7
11,40,34,78,40:34.1,42.63
14,10,32,547,10:32.5,39.32
16,51,50,370,51:50.4,42.95
15,43,28,309,43:28.3,43.55
9,58,24,310,58:24.3,46.03
13,48,31,50,48:31.1,41.8
9,6,51,362,06:51.4,46.65
12,35,33,742,35:33.7,39.57
9,46,13,55,46:13.1,44.74
15,26,0,624,26:00.6,42.92
9,35,39,237,35:39.2,44.5
12,24,59,149,24:59.1,39.62
16,29,47,918,29:47.9,42.25
10,32,55,505,32:55.5,47.31
11,0,3,398,00:03.4,46.39
10,39,11,636,39:11.6,46.08
10,2,33,878,02:33.9,46.05
10,3,27,772,03:27.8,45.65
11,32,34,390,32:34.4,43.36
14,29,13,389,29:13.4,42.21
14,37,17,406,37:17.4,42.59
15,59,42,896,59:42.9,43.16
12,3,5,404,03:05.4,40.42
16,0,56,945,00:56.9,43.13
13,45,55,707,45:55.7,43.2
16,16,19,140,16:19.1,43.68
9,17,37,6,17:37.0,45.37
10,34,38,964,34:39.0,48.03
12,50,22,749,50:22.7,39.71
15,4,16,652,04:16.7,42.58
14,44,47,671,44:47.7,43.34
9,9,54,8,09:54.0,46.25
16,52,29,544,52:29.5,43.35
9,55,27,73,55:27.1,44.97
15,12,39,368,12:39.4,42.67
12,44,45,293,44:45.3,39.47
9,35,19,483,35:19.5,44.98
15,30,20,228,30:20.2,43.67
15,0,39,358,00:39.4,42.86
16,33,8,838,33:08.8,42.93
9,11,8,195,11:08.2,46.19
15,49,20,276,49:20.3,42.64
11,12,36,2,12:36.0,45.88
14,10,29,581,10:29.6,39.28
15,33,43,669,33:43.7,42.91
11,40,56,594,40:56.6,42.72
15,6,34,996,06:35.0,42.48
9,39,41,865,39:41.9,44.36
9,10,2,100,10:02.1,46.05
11,40,2,452,40:02.5,42.2
13,14,32,378,14:32.4,40.77
15,27,23,477,27:23.5,42.85
10,51,58,591,51:58.6,45.51
15,21,45,416,21:45.4,43.7
11,20,25,262,20:25.3,45.1
14,12,7,701,12:07.7,39.45
11,54,53,761,54:53.8,42.05
11,19,46,129,19:46.1,45.69
10,57,45,982,57:46.0,45.29
15,7,8,135,07:08.1,42.13
13,33,43,938,33:43.9,42.35
15,13,36,367,13:36.4,43.15
9,2,56,490,02:56.5,45.91
12,14,4,620,14:04.6,39.95
16,33,13,249,33:13.2,43.02
15,39,7,87,39:07.1,44.08
14,12,31,468,12:31.5,39.59
16,32,57,498,32:57.5,43.07
9,46,25,326,46:25.3,44.79
9,50,49,752,50:49.8,46.13
9,26,3,905,26:03.9,45.05
9,43,22,824,43:22.8,44.56
10,19,56,608,19:56.6,46.84
10,40,10,135,40:10.1,45.74
14,22,29,70,22:29.1,41.66
11,30,15,316,30:15.3,42.95
15,15,46,812,15:46.8,43.02
13,37,25,346,37:25.3,43.03
10,12,50,882,12:50.9,46.89
9,3,13,948,03:13.9,45.92
14,56,35,538,56:35.5,43.16
15,59,26,739,59:26.7,43.15
15,0,21,852,00:21.9,43.22
16,48,47,121,48:47.1,42.49
9,2,57,335,02:57.3,45.94
13,13,31,67,13:31.1,40.75
12,34,4,479,34:04.5,39.89
11,9,41,987,09:42.0,46.31
10,38,42,13,38:42.0,45.92
12,52,48,381,52:48.4,41.06
9,32,52,142,32:52.1,45.58
12,41,42,504,41:42.5,39.58
10,43,22,758,43:22.8,43.84
12,15,32,533,15:32.5,39.07
15,8,25,701,08:25.7,42.22
13,25,38,303,25:38.3,42.11
10,54,51,634,54:51.6,44.92
16,10,40,915,10:40.9,44.13
9,8,31,857,08:31.9,45.51
11,13,1,959,13:02.0,45.91
16,46,7,594,46:07.6,43.63
11,46,30,331,46:30.3,43.01
12,42,26,714,42:26.7,39.21
13,54,29,738,54:29.7,41.15
14,20,49,33,20:49.0,41.44
11,54,25,987,54:26.0,41.88
12,12,43,595,12:43.6,40.6
12,35,41,586,35:41.6,39.57
16,8,25,179,08:25.2,43.71
9,17,12,670,17:12.7,45.57
10,47,50,444,47:50.4,45.53
9,27,37,451,27:37.5,45.39
10,48,54,864,48:54.9,45.83
11,52,5,185,52:05.2,41.88
12,38,11,563,38:11.6,39
14,7,55,280,07:55.3,38.55
15,11,57,134,11:57.1,42.34
14,26,45,603,26:45.6,42.3
11,28,40,374,28:40.4,43.27
9,19,44,575,19:44.6,45.45
10,0,59,318,00:59.3,45.48
11,32,45,831,32:45.8,43.31
11,39,33,663,39:33.7,42.61
11,8,55,0,08:55.0,46.48
12,4,35,445,04:35.4,40.01
13,55,43,227,55:43.2,40.71
10,46,32,580,46:32.6,45.09
13,35,49,27,35:49.0,43.12
10,57,48,121,57:48.1,45.23
15,36,6,210,36:06.2,44.3
12,25,13,507,25:13.5,39.53
10,52,25,817,52:25.8,45.41
15,56,31,965,56:32.0,41.84
14,47,54,155,47:54.2,44.39
15,42,54,651,42:54.7,43.43
12,52,24,172,52:24.2,40.49
11,53,39,625,53:39.6,41.55
13,0,49,149,00:49.1,40.64
10,26,54,779,26:54.8,47.76
16,18,43,547,18:43.5,42.95
11,50,10,374,50:10.4,42.46
10,54,13,101,54:13.1,45.36
15,33,1,180,33:01.2,42.88
13,53,26,847,53:26.8,41.71
11,49,14,592,49:14.6,42.54
13,8,13,129,08:13.1,40.17
15,20,23,73,20:23.1,43.93
14,19,23,852,19:23.9,40.48
12,37,7,78,37:07.1,39.25
10,16,29,966,16:30.0,47.79
10,21,41,723,21:41.7,46.98
11,16,8,540,16:08.5,45.49
16,10,57,621,10:57.6,43.75
16,15,11,653,15:11.7,43.29
12,6,11,704,06:11.7,40.12
16,56,52,340,56:52.3,43.98
13,24,27,666,24:27.7,42.02
15,36,51,56,36:51.1,44.07
16,21,56,63,21:56.1,42.61
16,47,5,289,47:05.3,43.31
14,7,14,319,07:14.3,38.26
15,39,41,758,39:41.8,44.5
12,59,10,476,59:10.5,40.49
14,30,0,850,30:00.8,42.32
15,36,28,507,36:28.5,44.5
13,2,23,751,02:23.8,41.18
16,6,44,438,06:44.4,43.38
10,20,25,867,20:25.9,46.3
11,47,59,26,47:59.0,43
11,11,27,101,11:27.1,45.81
10,28,3,52,28:03.1,47.86
12,49,49,734,49:49.7,40.31
16,42,24,491,42:24.5,44.32
13,18,11,336,18:11.3,41.52
15,20,52,614,20:52.6,43.69
15,34,12,72,34:12.1,43.53
12,18,15,292,18:15.3,39.17
11,14,21,344,14:21.3,45.65
10,43,36,408,43:36.4,44.11
14,26,52,897,26:52.9,42.4
10,4,3,244,04:03.2,45.81
14,34,58,143,34:58.1,42.52
14,34,47,730,34:47.7,42.49
12,16,46,836,16:46.8,39.29
9,54,4,146,54:04.1,44.85
10,24,23,833,24:23.8,47.68
12,46,2,887,46:02.9,39.81
10,59,32,626,59:32.6,46.05
11,57,3,543,57:03.5,42.46
16,32,3,524,32:03.5,42.48
11,34,36,762,34:36.8,43.69
9,29,24,136,29:24.1,46.19
13,1,22,143,01:22.1,40.75
15,59,30,80,59:30.1,43.08
16,56,17,549,56:17.5,44.52
9,11,42,168,11:42.2,45.94
11,51,31,221,51:31.2,42.3
15,1,38,227,01:38.2,42.95
10,2,19,686,02:19.7,45.93
16,11,42,902,11:42.9,44.08
10,9,25,633,09:25.6,46.79
16,58,47,843,58:47.8,43.56
13,18,59,884,18:59.9,41.92
11,12,41,543,12:41.5,45.9
10,19,12,877,19:12.9,47.29
16,21,15,394,21:15.4,42.59
14,59,48,849,59:48.8,43.72
12,29,3,207,29:03.2,39.34
14,22,0,627,22:00.6,41.63
9,19,2,256,19:02.3,45.32
11,10,44,464,10:44.5,45.62
11,22,45,961,22:46.0,44.87
11,25,3,418,25:03.4,44.47
15,33,0,725,33:00.7,42.88
16,28,46,39,28:46.0,41.71
14,49,49,365,49:49.4,44.13
15,48,23,137,48:23.1,42.68
16,14,44,157,14:44.2,43.07
12,16,33,68,16:33.1,39.3
15,54,16,136,54:16.1,41.11
16,21,13,906,21:13.9,42.54
9,51,54,912,51:54.9,45.47
11,31,11,386,31:11.4,42.73
15,38,38,475,38:38.5,43.97
11,0,41,281,00:41.3,46.8
11,29,44,397,29:44.4,43.37
14,29,11,389,29:11.4,42.4
11,53,51,679,53:51.7,41.76
14,0,24,191,00:24.2,39.42
10,36,41,548,36:41.5,46.64
11,16,51,867,16:51.9,45.22
10,16,31,28,16:31.0,47.67
9,45,18,799,45:18.8,45.16
11,3,27,312,03:27.3,46.18
13,0,26,305,00:26.3,41.13
13,2,49,716,02:49.7,41.33
16,38,10,971,38:11.0,44.12
11,50,12,886,50:12.9,42.52
10,32,0,928,32:00.9,47.53
9,26,51,42,26:51.0,45.05
12,33,0,378,33:00.4,40.31
11,39,1,957,39:02.0,42.21
11,47,39,413,47:39.4,43.18
16,2,54,472,02:54.5,42.31
15,28,14,295,28:14.3,43.02
10,24,26,238,24:26.2,47.62
15,43,47,271,43:47.3,43.24
10,59,14,454,59:14.5,45.83
15,52,35,868,52:35.9,41.96
13,29,47,970,29:48.0,41.65
9,41,33,505,41:33.5,45.03
12,30,54,831,30:54.8,39.32
13,25,13,757,25:13.8,41.96
15,4,9,470,04:09.5,42.78
11,2,29,447,02:29.4,45.9
10,55,3,121,55:03.1,45.16
12,19,17,489,19:17.5,39.61
16,16,21,614,16:21.6,43.45
9,56,36,334,56:36.3,45.32
12,34,37,164,34:37.2,40.16
10,30,10,396,30:10.4,48.96
13,30,21,815,30:21.8,41.96
15,11,35,440,11:35.4,42.42
15,54,20,458,54:20.5,41.16
11,12,7,26,12:07.0,45.75
16,11,20,484,11:20.5,44.06
16,28,28,818,28:28.8,41.66
12,12,21,586,12:21.6,40.4
13,8,16,398,08:16.4,40.23
14,20,14,103,20:14.1,41.13
10,25,4,737,25:04.7,47.58
10,49,58,882,49:58.9,46.02
16,41,42,434,41:42.4,44.79
14,29,40,245,29:40.2,42.21
16,6,2,43,06:02.0,42.97
12,36,59,968,37:00.0,39.29
15,7,26,370,07:26.4,41.93
15,21,49,886,21:49.9,43.73
13,8,53,3,08:53.0,40.66
15,18,46,8,18:46.0,43.79
12,12,46,862,12:46.9,40.47
15,56,54,346,56:54.3,42.02
9,31,45,253,31:45.3,46.39
12,23,37,415,23:37.4,38.99
9,12,24,266,12:24.3,45.88
12,27,55,148,27:55.1,39.42
11,34,32,991,34:33.0,43.69
15,31,4,979,31:05.0,43.68
16,36,22,789,36:22.8,43.74
14,27,8,211,27:08.2,42.51
10,56,44,53,56:44.1,45.7
12,54,50,587,54:50.6,40.6
13,19,52,982,19:53.0,42.03
12,39,21,486,39:21.5,38.48
12,16,40,397,16:40.4,39.27
12,29,56,311,29:56.3,38.86
11,2,21,846,02:21.8,45.46
11,53,30,377,53:30.4,41.75
11,6,6,964,06:07.0,46.28
15,23,17,784,23:17.8,44.54
13,14,33,158,14:33.2,40.74
10,15,2,62,15:02.1,46.97
12,22,49,739,22:49.7,38.49
15,47,59,358,47:59.4,42.62
12,48,30,266,48:30.3,39.62
16,11,24,759,11:24.8,44.1
15,41,53,437,41:53.4,43.49
11,31,40,671,31:40.7,42.86
16,1,55,829,01:55.8,42.83
10,57,36,414,57:36.4,45.07
16,23,14,472,23:14.5,42.72
11,54,5,147,54:05.1,41.62
13,0,57,31,00:57.0,40.61
11,54,54,844,54:54.8,42.09
13,20,17,537,20:17.5,42.36
12,14,52,733,14:52.7,39.21
10,12,29,57,12:29.1,46.77
10,30,20,101,30:20.1,48.7
9,18,59,118,18:59.1,45.28
11,26,2,389,26:02.4,44.37
11,2,18,463,02:18.5,45.52
12,30,34,553,30:34.6,38.86
11,6,5,278,06:05.3,46.24
13,7,59,108,07:59.1,40.26
10,10,46,796,10:46.8,47.3
16,53,57,294,53:57.3,44.13
9,59,57,973,59:58.0,45.49
13,2,55,64,02:55.1,41.47
11,44,14,701,44:14.7,42.45
11,14,18,38,14:18.0,45.74
9,3,53,287,03:53.3,46.05
16,27,1,29,27:01.0,42.06
14,18,13,933,18:13.9,40.05
16,4,56,365,04:56.4,42.55
9,9,0,498,09:00.5,45.67
12,14,41,36,14:41.0,39.13
9,56,12,355,56:12.4,45.37
15,36,4,969,36:05.0,44.34
12,47,50,734,47:50.7,39.67
14,46,29,545,46:29.5,44.02
15,55,49,543,55:49.5,41.29
10,2,25,375,02:25.4,45.84
16,21,16,516,21:16.5,42.53
16,50,54,625,50:54.6,43.08
14,32,16,615,32:16.6,43.14
9,3,8,358,03:08.4,45.86
9,0,53,331,00:53.3,46.35
15,25,29,616,25:29.6,43.02
9,30,55,140,30:55.1,46.45
14,34,31,831,34:31.8,42.83
13,36,11,357,36:11.4,43.19
13,0,52,921,00:52.9,40.52
15,12,59,231,12:59.2,42.89
16,57,58,525,57:58.5,43.97
14,24,15,59,24:15.1,42.06
14,23,5,922,23:05.9,42.12
16,3,58,937,03:58.9,42.1
14,11,13,187,11:13.2,39.9
10,49,39,661,49:39.7,45.93
12,5,18,945,05:18.9,40.04
14,57,1,603,57:01.6,43.64
15,48,46,695,48:46.7,42.91
13,47,10,817,47:10.8,42.74
9,41,46,92,41:46.1,45.3
14,19,59,673,19:59.7,41.23
10,16,39,975,16:40.0,47.57
13,20,30,193,20:30.2,42.18
9,36,27,79,36:27.1,44.24
14,37,27,410,37:27.4,42.42
11,56,13,333,56:13.3,42.92
11,19,20,559,19:20.6,45.79
15,58,22,960,58:23.0,42.38
10,58,54,523,58:54.5,45.66
10,35,23,527,35:23.5,47.36
12,7,44,208,07:44.2,40.95
9,40,57,147,40:57.1,44.76
12,7,17,169,07:17.2,40.62
13,6,38,783,06:38.8,41.02
11,34,5,415,34:05.4,43.58
14,30,7,885,30:07.9,42.27
10,0,0,204,00:00.2,45.49
15,46,58,656,46:58.7,42.66
11,26,48,828,26:48.8,44.29
14,44,6,532,44:06.5,42.97
14,34,56,740,34:56.7,42.61
9,11,14,715,11:14.7,45.95
9,10,1,721,10:01.7,46.14
10,3,12,18,03:12.0,46.05
11,59,17,997,59:18.0,41.95
12,57,3,147,57:03.1,40.19
11,10,15,151,10:15.2,46
13,57,5,237,57:05.2,39.62
13,58,2,947,58:02.9,39.53
15,27,41,580,27:41.6,42.96
10,14,27,545,14:27.5,47.01
13,24,56,176,24:56.2,41.7
10,58,52,788,58:52.8,45.54
11,55,23,613,55:23.6,42.27
15,1,55,833,01:55.8,42.72
14,10,59,304,10:59.3,39.57
10,13,11,734,13:11.7,46.95
11,3,14,949,03:14.9,45.69
11,25,7,237,25:07.2,44.53
12,47,30,7,47:30.0,39.98
14,8,47,545,08:47.5,39.19
12,19,12,424,19:12.4,39.76
12,7,22,73,07:22.1,40.77
11,9,55,617,09:55.6,46.15
11,23,48,348,23:48.3,44.54
11,59,29,909,59:29.9,42.08
11,43,8,674,43:08.7,42.16
16,39,35,181,39:35.2,44.66
15,29,18,670,29:18.7,43.23
14,9,50,287,09:50.3,39.07
14,28,30,17,28:30.0,42.18
14,43,51,918,43:51.9,43.1
12,16,46,388,16:46.4,39.28
10,33,23,934,33:23.9,47.69
14,1,41,968,01:42.0,39.22
10,28,54,129,28:54.1,48.04
10,48,24,105,48:24.1,45.89
14,30,30,771,30:30.8,42.4
13,7,47,9,07:47.0,40.15
13,23,48,921,23:48.9,42.07
16,13,8,480,13:08.5,43.17
16,59,48,20,59:48.0,43.5
12,16,57,314,16:57.3,39.23
10,6,36,105,06:36.1,46.41
10,14,35,764,14:35.8,46.9
10,31,37,394,31:37.4,47.8
16,23,3,304,23:03.3,42.76
16,46,22,189,46:22.2,43.88
16,59,38,545,59:38.5,43.43
10,53,44,163,53:44.2,45.2
9,49,49,68,49:49.1,46.24
9,33,32,887,33:32.9,45.89
15,27,14,904,27:14.9,42.72
10,16,25,43,16:25.0,47.77
11,3,34,967,03:35.0,46.4
12,16,6,26,16:06.0,39.76
12,39,10,915,39:10.9,38.55
9,6,45,48,06:45.0,46.65
10,28,18,339,28:18.3,47.9
15,37,30,438,37:30.4,43.64
15,18,39,846,18:39.8,43.55
15,27,11,441,27:11.4,42.82
12,33,21,335,33:21.3,40.28
